map_name,pose_id,n_runs,exact_success_rate,scan_equivalent_success_rate,ambiguity_gain,ambiguous_correct_rate,true_failure_rate,top5_scan_equivalent_success_rate,top5_ambiguity_gain,mean_output_scan_error,median_output_scan_error,mean_position_error,median_position_error
corridor_2,0,10,0.3,1.0,0.7,0.7,0.0,1.0,0.7,0.0012325303819444382,0.0013134765624999928,3.236713187245884,4.048986152556131
corridor_2,1,10,0.1,1.0,0.9,0.9,0.0,1.0,0.9,0.0006898328993055535,0.0007516818576388864,3.0696921930471297,3.5819279822196073
corridor_2,2,10,0.8,1.0,0.19999999999999996,0.2,0.0,1.0,0.19999999999999996,0.0006359592013888886,0.000525987413194445,0.13622359422220537,0.04476289156825851
corridor_2,3,10,0.7,1.0,0.30000000000000004,0.3,0.0,1.0,0.30000000000000004,0.00040988498263888715,0.0004077148437499977,0.9056024099338573,0.09797782976613047
corridor_2,4,10,0.1,1.0,0.9,0.9,0.0,1.0,0.9,0.00020350477430555492,0.00017062717013888846,2.659283446608466,3.060871876243246
complex_room,0,10,0.7,1.0,0.30000000000000004,0.3,0.0,1.0,0.30000000000000004,0.0026811523437499894,0.0002913411458333336,1.7544350745604764,0.039239258347603855
complex_room,1,10,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.004039442274305539,0.0019506835937499925,1.2176302637064416,0.19209687685183166
complex_room,2,10,0.3,1.0,0.7,0.7,0.0,1.0,0.7,0.0039008246527777665,0.004730631510416655,2.4336035743006548,3.311567426054314
complex_room,3,10,0.4,0.9,0.5,0.5,0.1,0.9,0.5,0.006210666232638867,0.009711371527777745,2.1219680870504822,3.370666926488812
complex_room,4,10,0.8,1.0,0.19999999999999996,0.2,0.0,1.0,0.19999999999999996,0.0006486002604166665,6.401909722222223e-05,0.10598016681686359,0.06303436642332937
