config_id,map_name,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
base,medium_room,30,0.5333333333333333,1.8138770031236966,1.9411723389235724,0.12452806466809277,0.9887674993387533,1.188227425478522,0.0693782010799151,0.9948889399763368,0.00457464408236052,11.752402694466097
base,complex_room,30,0.6,1.4313396052259983,2.0397167747453935,0.08313980179699207,0.6482251745790978,0.8841116018846772,0.03641687178582309,0.997657296575078,0.002630568114748812,8.852585395770438
base,corridor,30,0.6666666666666666,1.5614349911832324,2.453302817971517,0.05261269993434803,1.053225081179427,1.464174984035472,0.023839105273645744,0.9984134458072819,0.001381024464713526,11.006064836101238
pop_50,medium_room,30,0.23333333333333334,2.868153138024974,1.738327980497143,3.441554949002894,1.8226868693533447,1.212467689965027,2.2433655810074593,0.9918973265859045,0.004585292645163701,5.694906592934179
pop_50,complex_room,30,0.5333333333333333,1.0730714018309366,1.5522360984210142,0.08988461503164698,0.9964567614718387,1.1310605141101129,0.028941563322947728,0.9975613859415403,0.0024552067627746964,4.33643196389991
pop_50,corridor,30,0.4666666666666667,2.2886627784446394,2.643931133687071,0.5219678930362288,1.6751124372543975,1.5549906690731705,3.1144333644443924,0.9980633417177983,0.0014197393632675187,5.337341875066826
pop_150,medium_room,30,0.7,1.2865517304630687,1.8947939064368613,0.11101526106081291,0.7201088322893283,1.1129652925366764,0.039860126321881184,0.9963927408115377,0.003624062498467236,17.484848520765567
pop_150,complex_room,30,0.7333333333333333,0.9732666724727184,1.5509053178514836,0.04437102444222985,0.5061340152611755,0.8513800993126684,0.015825052896764502,0.9983342925698604,0.002124501862001244,13.663185465298495
pop_150,corridor,30,0.7666666666666667,0.9985265589023198,2.0686803310935287,0.0411529437014161,0.7412501754977815,1.3157244941763224,0.02004785975091017,0.9986659150877824,0.0011925575512985672,16.887927195898374
gen_80,medium_room,30,0.5333333333333333,1.8076273737674455,1.951276600042533,0.06481024640903653,0.9852066917225,1.1933159207141129,0.01677617012101229,0.9953332576810718,0.004773019323299947,23.252933666664468
gen_80,complex_room,30,0.6333333333333333,1.4126481936763537,2.0532404114150316,0.05037526910515336,0.6301665340109502,0.8787184570138634,0.01567389917980977,0.9979148307351026,0.002659753310436704,17.55193031946595
gen_80,corridor,30,0.6666666666666666,1.5502206688376967,2.45639810092042,0.04013136665326608,1.0498477790832534,1.4665927593730783,0.019005500881787096,0.9987188716833758,0.001390252155270318,21.96551355273453
sigma_xy_0_15,medium_room,30,0.36666666666666664,2.48381759506232,1.9956064457900344,3.081011119130241,1.5212934858142733,1.2986855203885246,1.4470686873722896,0.9937690882671585,0.00447219208990148,11.693012409798879
sigma_xy_0_15,complex_room,30,0.7666666666666667,0.8503558911647784,1.50876035079554,0.024091775621148944,0.4171628264589079,0.7827868156532795,0.004074472120877637,0.9987544213974772,0.0021297491008989873,9.01741664436704
sigma_xy_0_15,corridor,30,0.7,1.5350731804611328,2.465240379450956,0.040723284026217825,0.9447745643953441,1.4251256950821503,0.016645355906673043,0.9988126556176061,0.001444549550812661,11.510642238901346
sigma_xy_0_50,medium_room,30,0.4,2.463447983314813,2.082349009499293,3.110397090605554,1.452893835391659,1.2818957876511141,1.581338045766139,0.99428547331364,0.004248332281331987,11.445503568000762
sigma_xy_0_50,complex_room,30,0.6666666666666666,1.0931329982284481,1.6723955776150663,0.1096243695018507,0.5272700862887975,0.8012580515748494,0.03786486582114801,0.9978830769266094,0.0023465391181446155,8.81248024720068
sigma_xy_0_50,corridor,30,0.7,1.6596345598419808,2.5000186409244254,0.03961260145656263,0.9436920294737648,1.4237712896723655,0.013553257570952715,0.9985595876491455,0.0013602665663462348,10.701579588999932
tournament_2,medium_room,30,0.4666666666666667,2.1916002557283725,2.0543804083393575,3.0166801487269863,1.3278079929065565,1.3354919395208529,1.2472515907977049,0.9941701037849319,0.004332287052460997,11.759624436033967
tournament_2,complex_room,30,0.5666666666666667,1.4346698787161674,1.800739995052079,0.15826157249128353,0.7836067593677548,0.9593866591740935,0.08839161929627615,0.9969841451352405,0.0027213944496896074,8.96681972353205
tournament_2,corridor,30,0.7333333333333333,1.3511739832737777,2.347032597714031,0.04594310880719186,0.8430700589184058,1.3758464380890338,0.016231398518452345,0.9983443411972031,0.001341374740483322,10.92986638336588
tournament_5,medium_room,30,0.4666666666666667,2.1521305223767997,2.113628715325202,2.48911466078434,1.3916344606932032,1.3827353315476043,1.3890651413808262,0.9948755926517039,0.004746597788938932,11.522307787532919
tournament_5,complex_room,30,0.6333333333333333,1.292964936986929,1.7900137556899967,0.04203787149929211,0.63864398706742,0.9015314808444126,0.009095583936726603,0.9979093249214324,0.0027747907658652385,8.90572654443143
tournament_5,corridor,30,0.7,1.1967523014369257,2.2403635709066863,0.013975870711887346,0.9428099927734649,1.432469993628153,0.008196834435197697,0.9990224917765905,0.0013620929326575322,11.11640167083339
