experiment,config_id,map_name,method,pose_id,seed,true_x,true_y,true_theta,estimated_x,estimated_y,estimated_theta,best_fitness,position_error,theta_error,success,scan_error,feature_error,combined_error,scan_contribution,perception_contribution,runtime_seconds,population_size,generations,elite_size,tournament_size,crossover_rate,mutation_rate,sigma_xy,sigma_theta,fov_deg,num_beams,max_range_m,noise_std_m,angular_resolution_deg,perception_weight,final_best_history,final_mean_history,ea_overrides
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,0,2.0,2.2,0.0,5.8382393884845785,2.64042441765949,2.97600737442318,0.9915330126607566,3.8634253287704645,2.9760073744231796,False,0.009176432291666632,0.007052622634218406,0.008539289394432164,0.006423502604166642,0.0021157867902655216,11.828503124997951,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9915330126607566,0.9789300763154499,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,1,2.0,2.2,0.0,2.0149975533764857,2.2467386880056255,0.0016298761202310228,0.9995377229244807,0.04908596096408544,0.0016298761202309109,True,6.618923611111085e-05,0.001387194697234278,0.0004624908744480609,4.633246527777759e-05,0.00041615840917028334,11.596864834005828,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995377229244807,0.97955835410722,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,2,2.0,2.2,0.0,2.000426874372336,2.20721978520137,-0.0073476646433150074,0.999624918421546,0.007232393800373108,0.007347664643314822,True,8.680555555555527e-06,0.001230486428480652,0.00037522231743308446,6.076388888888868e-06,0.0003691459285441956,11.593543124996359,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.999624918421546,0.9770875173759122,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,3,2.0,2.2,0.0,5.741726852055695,2.5750422341480537,2.935996943659312,0.9913876201811438,3.760475570029592,2.935996943659312,False,0.00967610677083329,0.006379741738826254,0.00868719726123118,0.006773274739583303,0.0019139225216478761,11.969785665991367,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9913876201811438,0.9777751521668318,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,4,2.0,2.2,0.0,5.729197537207292,2.5604869769940555,2.9065817958233775,0.9908716230212787,3.746580458510833,2.906581795823378,False,0.009157986111111072,0.009339605391025916,0.009212471895085525,0.0064105902777777495,0.0028018816173077748,11.82941608299734,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9908716230212787,0.9780937870364488,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,5,2.0,2.2,0.0,2.0092435188067035,2.2074698793179324,0.00409586574258336,0.9996644777890104,0.011884516689977436,0.00409586574258336,True,1.30208333333333e-05,0.0010884008019819424,0.00033563482392791604,9.11458333333331e-06,0.00032652024059458273,11.562997625005664,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9996644777890104,0.979857392088447,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,6,2.0,2.2,0.0,5.799018026735805,2.646601729597938,2.921911561703137,0.9914230084575967,3.8251785673800223,2.921911561703137,False,0.009302300347222186,0.007131941687971963,0.00865119274944712,0.00651161024305553,0.002139582506391589,11.836249667001539,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9914230084575967,0.9773245325071243,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,7,2.0,2.2,0.0,2.006461133218448,2.2605082694435885,6.648657483541107e-05,0.9992081790413069,0.060852254794086465,6.648657483543374e-05,True,9.440104166666631e-05,0.002421225689355737,0.0007924484359733875,6.608072916666641e-05,0.000726367706806721,11.696458999998868,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9992081790413069,0.9813204505846952,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,8,2.0,2.2,0.0,5.799472499154549,2.6398822216633056,2.9247354283215037,0.9914453131566797,3.8248513227009444,2.9247354283215037,False,0.009295789930555519,0.00707149338543861,0.008628500967020445,0.006507052951388863,0.002121448015631583,11.938212208988261,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9914453131566797,0.9797462538007972,{}
experiment_4_parameter_tuning,base,medium_room,perception_aware,0,9,2.0,2.2,0.0,2.0071204180162354,2.275373048376647,-0.018554023069505897,0.998882722952525,0.07570863077822923,0.01855402306950582,True,7.324218749999986e-05,0.0035575240683058985,0.0011185267517417694,5.12695312499999e-05,0.0010672572204917694,11.822248416006914,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9987619764721243,0.9734274682503511,{}
