map_name,pose_id,method,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
simple_room,0,scan_only,10,0.3,5.0124423224716965,3.256907762662827,7.132288905118735,2.1936934511749597,1.4284875933765626,3.1267383532721045,0.999780877773236,0.00011733694636471308,12.946167187301034
simple_room,1,scan_only,10,1.0,0.024751373475141697,0.01577449607006592,0.02088384701891489,0.008016994737995909,0.008049740842683343,0.004528757067850275,0.9999753156871292,2.018956563209575e-05,16.671913320997554
simple_room,2,scan_only,10,1.0,0.031638964191335904,0.017964121526563733,0.02982895848467945,0.0055406781142077755,0.00492854087089234,0.005568203347428469,0.9998971007315512,0.0002513384293924774,16.87736337089882
simple_room,3,scan_only,10,0.7,1.5733507079741158,2.340464449512679,0.04967105130083699,0.9424793607000325,1.4304466439610513,0.00833632993209621,0.9986593554340615,0.0019987776413205784,17.383817770697352
simple_room,4,scan_only,10,0.6,2.4890999086420216,3.012560747059248,0.05568674777202924,1.257470796483154,1.5288730577187015,0.02313785735330698,0.9998624474773997,0.00012390782454261624,12.523385370899632
simple_room,0,perception_aware,60,0.4666666666666667,3.83299489008994,3.555563017990813,7.096572171141283,1.6645288621967897,1.5461918344246746,3.0847650125001693,0.9989676500294368,0.0008894016049343001,13.618438935466838
simple_room,1,perception_aware,60,0.9333333333333333,0.17091338009729956,0.5317291696520849,0.030242967858285938,0.2017659594741426,0.7154074667535648,0.008670468710382906,0.9990407606971096,0.0022119265149190518,17.248530662516472
simple_room,2,perception_aware,60,0.9833333333333333,0.05355902874527634,0.21653531884772004,0.021993409971433377,0.0594242532416395,0.3851994881557946,0.007375395459012335,0.9993947466694857,0.0015177900382598926,18.156687600016447
simple_room,3,perception_aware,60,0.6833333333333333,1.6077312576398195,2.2889981106276944,0.06162509701014046,0.9969993587495266,1.4492328755967854,0.0146904392925864,0.9985923298040666,0.001772994859663329,18.468596272900808
simple_room,4,perception_aware,60,0.55,2.793564969110325,3.039050734762333,0.09067423212534668,1.410204078020342,1.5422985958892166,0.02612345023125151,0.9988862181792914,0.0008388179844574892,13.024195723617595
easy_room,0,scan_only,10,0.4,3.713798667491993,3.188687390399424,4.298656856389799,1.711867930607161,1.4432497462850467,2.336068891455224,0.9957808704952626,0.004201491065858641,12.3111022750978
easy_room,1,scan_only,10,0.0,3.1603412831356295,1.3549957996392945,4.233982741675281,3.046438427026118,0.06638649416204913,3.009887579223554,0.9953893664243431,9.271269695044929e-05,12.099198441603221
easy_room,2,scan_only,10,0.8,0.5058574517293339,0.9757879869015235,0.031131608433576013,0.3110588630535546,0.9042049611191147,0.009928747841245755,0.9984956177782118,0.00307013366306093,11.69818867090071
easy_room,3,scan_only,10,0.9,0.5658229099383885,1.560096935811847,0.03815950889360959,0.32251650220290956,0.9337148415838269,0.009705871254271248,0.999224751625438,0.002182722624595121,12.970706312499534
easy_room,4,scan_only,10,1.0,0.06504359913664137,0.025451479710274547,0.06786965088529764,0.005042980855552148,0.004318862926826338,0.004054771057821371,0.9999373958121079,1.9986017763936106e-05,11.430842774898338
easy_room,0,perception_aware,10,0.5,3.615820733381482,3.579203576230492,3.6083382543407776,1.5695726299453807,1.5477505686326307,1.564320372371299,0.9970334408363897,0.0026416886948979483,12.463330283296818
easy_room,1,perception_aware,10,0.3,2.7274001876171465,1.9601300940086188,4.271627637175295,2.091165458938055,1.366663298900328,2.9562428419901234,0.9968961327338732,0.0020824131656372747,12.182208766600525
easy_room,2,perception_aware,10,0.9,0.27464065519102776,0.7287729083048375,0.025966782308962866,0.3288643190898096,0.9355668658572744,0.018603900424068565,0.9989788072309367,0.002499658859475734,11.743142537599487
easy_room,3,perception_aware,10,0.6,2.136503252910472,2.5740064357387396,0.04986063725737282,1.2549209601580267,1.53056740100588,0.008744147365556287,0.9974494874812935,0.0029534009907330305,13.286565075001272
easy_room,4,perception_aware,10,1.0,0.060063195697923136,0.026460525662530293,0.057661739201176745,0.015456075678181991,0.009784447176877872,0.017508513847680263,0.9997152496130723,0.00014994497911960842,11.497647516599681
medium_room,0,scan_only,10,0.5,1.904983968216003,1.8292970331746783,1.944065949490929,1.456870749803206,1.4347867861007544,1.457649043497653,0.9951050485786489,0.00418535560262495,11.774317221000093
medium_room,1,scan_only,10,0.9,0.32754667077684085,0.8925055418242435,0.028947964558854872,0.11914381545975675,0.30085474470791107,0.020270066865621272,0.9995687377772322,0.0012196833984077884,8.621619191599894
medium_room,2,scan_only,10,0.6,1.1992128968278866,1.4233936300841783,0.05410792128522915,1.2492839357727503,1.516539078717822,0.019129014731706695,0.9961029164492601,0.004729282145141804,12.302049479099514
medium_room,3,scan_only,10,0.6,1.9041033885799021,2.357812100612694,0.10373804124295131,0.9053002816617062,1.2809774321023721,0.048032868212236846,0.996858917243449,0.0033504919264369997,10.411129662400345
medium_room,4,scan_only,10,0.1,4.1636940383613075,1.4331778448120347,4.834993010497364,1.3297303016599313,0.4541685133795103,1.5277122998660198,0.9942404992474282,0.0036155006843424436,10.587160687301367
medium_room,0,perception_aware,90,0.4222222222222222,2.209589966488421,1.8603837038517756,3.751573572880132,1.675568717734104,1.4405151121931066,2.906833086944218,0.9945831040988166,0.00419993414978588,13.098892124533206
medium_room,1,perception_aware,10,1.0,0.06115352063826671,0.017933663349662548,0.05508884058576205,0.018010594816344837,0.009718886102882176,0.01839277183976118,0.9994771892684213,9.392579214495291e-05,8.677747741698113
medium_room,2,perception_aware,90,0.7111111111111111,0.7664186634282704,1.1560982568782319,0.0425279865883286,0.8499286225381443,1.3218863282264648,0.006337449120043637,0.9964265773568395,0.004825704421430012,13.305175718889545
medium_room,3,perception_aware,10,0.8,1.0239420166987336,2.0036628061987374,0.030226859293561628,0.42362493428463727,0.8951250986833182,0.011013754256802732,0.9975747762672175,0.004659013399660931,10.553492770600133
medium_room,4,perception_aware,90,0.2777777777777778,3.317685571745038,2.0446216180753227,4.457855864822158,1.2075583820105424,0.9021844813628763,1.2339996785642833,0.9924908062272179,0.003841844562319365,12.444572399109893
complex_room,0,scan_only,10,0.4,3.5591164783395053,2.899211927251104,5.366139580469195,0.9999817586709815,0.8160862800721892,1.5314487985573635,0.9966518926714469,0.002585928155257354,8.970200262399157
complex_room,1,scan_only,10,0.1,2.5343984764137653,1.5872877867287478,3.7542398862430852,2.4252115360774464,1.1964155013710858,3.123012182996807,0.9957489367637417,0.0018053681943532417,9.149756408197572
complex_room,2,scan_only,10,0.3,2.1127533363026942,1.421340053551963,2.3698090829504137,1.0828334601670682,0.6893014236392917,1.4802056954849048,0.9964607308748729,0.00205443554113401,8.533243191700603
complex_room,3,scan_only,10,0.4,2.1886327634269516,1.9795755700752993,2.4519322978474674,1.2468894105083237,1.0437545478754728,1.7467603409986205,0.9950448959528456,0.004077897644153378,9.289490845899854
complex_room,4,scan_only,10,0.8,0.20401287822487163,0.3411904027766716,0.03732014462179043,0.6199959570333062,1.2038335929788624,0.010804066458990347,0.9996096664771512,0.0007194904762454683,8.933916045899968
complex_room,0,perception_aware,150,0.7066666666666667,1.4800394701533934,2.29025395471593,0.03772525063170794,0.5732906436860217,0.9105317315060047,0.011235206220006955,0.9976031682563125,0.003405559952017988,10.390670745286819
complex_room,1,perception_aware,70,0.5571428571428572,1.1338915057138128,1.5318849768410554,0.07857495693905867,1.1992859330005856,1.44949995171039,0.04632973139940688,0.9964431662143725,0.003525458391650015,9.629960432757175
complex_room,2,perception_aware,150,0.32,2.3028173141231356,1.577176120256297,3.09634114528231,1.1454698886974892,0.9249869741762959,1.4717442039001793,0.9964935730052837,0.001845155160523954,8.891172782793582
complex_room,3,perception_aware,70,0.3,2.236416334977612,1.528276760196515,2.961958684973044,1.1162796569208246,1.0099643327354608,1.0090185188489769,0.9945014242942629,0.0035812677130998053,10.040771286413031
complex_room,4,perception_aware,150,0.8266666666666667,0.10986490322036135,0.17333187992072602,0.05463731359937522,0.3702689593661794,0.8976529260670298,0.018007226247883423,0.9992244477509208,0.001257552132570729,9.65286858745317
corridor,0,scan_only,10,0.6,2.4936598900078932,3.007145849722184,0.05859872379260404,1.2600364040157532,1.5203370049106222,0.026303027030325055,0.9986624644483099,0.0010783647858571357,10.661832579100155
corridor,1,scan_only,10,0.4,2.073894186346804,1.6646211949713963,3.4003751225757908,1.8817815802203512,1.5310090481781908,3.1233991832760255,0.9992704680356157,0.00043217563914419837,11.619336616598593
corridor,2,scan_only,10,0.6,0.26818921364166026,0.304606378130331,0.03173204756475321,1.257053637478548,1.531508565587209,0.012668852516887874,0.9996385088293366,0.00037422910670496535,12.005229362401588
corridor,3,scan_only,10,0.4,1.3289912593579083,1.0428574683490857,2.1357972910851646,1.8808486251220042,1.5304050153508917,3.118052678905343,0.9992284580354125,0.0004001810522395096,11.665818833302183
corridor,4,scan_only,10,0.7,1.5360059299142492,2.2861443393948475,0.04865422636852732,0.9435126628789579,1.4307022719759723,0.008245860862914567,0.9995428794057639,0.0004354116456122846,10.93110596260376
corridor,0,perception_aware,150,0.5266666666666666,2.6908082105324427,2.876711657193608,0.06304474439956594,1.4029792363974685,1.5267325829004788,0.03244305658711788,0.9978731435385907,0.001840732373231991,11.357989565306731
corridor,1,perception_aware,70,0.6,1.312562826070308,1.5960033993682319,0.04632801008604452,1.2531775630669277,1.5240936201761432,0.016209233344030682,0.998264680084157,0.0015365914446181857,11.876369418471379
