map_name,pose_id,x,y,theta,scan_error,equivalence_threshold,equivalence_percentile,true_x,true_y,true_theta
corridor_2,0,1.7555555555555558,1.638888888888889,0.7853981633974478,0.0005598958333333301,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.437037037037038,4.261111111111111,-2.356194490192345,0.001008572048611108,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.7555555555555558,1.5296296296296297,0.7853981633974478,0.0011773003472222187,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.437037037037038,4.151851851851852,-2.356194490192345,0.0015451388888888847,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,2.0481481481481483,1.638888888888889,1.0471975511965974,0.0016303168402777718,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.827777777777778,1.638888888888889,0.5235987755982987,0.0017062717013888828,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,5.120370370370371,1.5296296296296297,0.7853981633974478,0.0017491319444444364,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.437037037037038,4.37037037037037,-2.356194490192345,0.0019287109374999953,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.4629629629629632,4.042592592592593,-2.356194490192345,0.001952582465277772,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.218518518518519,1.638888888888889,0.7853981633974478,0.0020627170138888796,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.0240740740740741,4.261111111111111,-2.0943951023931957,0.002085503472222213,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.827777777777778,1.5296296296296297,0.5235987755982987,0.002131618923611105,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.364814814814815,1.5296296296296297,0.7853981633974478,0.0022564019097222163,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.0240740740740741,4.37037037037037,-2.0943951023931957,0.002280815972222212,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,5.2666666666666675,4.261111111111111,-2.6179938779914944,0.0022884114583333246,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.7555555555555558,1.7481481481481482,0.7853981633974478,0.0022954644097222133,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.364814814814815,1.4203703703703705,0.7853981633974478,0.0023301866319444388,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.3166666666666669,4.37037037037037,-2.356194490192345,0.0023464626736111,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.364814814814815,4.261111111111111,-2.6179938779914944,0.0024159071180555446,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.0722222222222224,4.479629629629629,-2.356194490192345,0.002456054687499992,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.827777777777778,1.7481481481481482,0.5235987755982987,0.0024641927083333256,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.72962962962963,1.8574074074074074,0.7853981633974478,0.0025423177083333205,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.1703703703703705,4.151851851851852,-2.0943951023931957,0.0025580512152777683,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.974074074074075,4.479629629629629,-2.356194490192345,0.0025629340277777708,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,5.120370370370371,1.4203703703703705,0.7853981633974478,0.002569444444444436,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,5.412962962962964,1.5296296296296297,1.0471975511965974,0.002637261284722211,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,5.2666666666666675,4.37037037037037,-2.6179938779914944,0.002651909722222213,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,2.77962962962963,4.37037037037037,-2.0943951023931957,0.002657335069444433,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.144444444444445,4.261111111111111,-2.0943951023931957,0.002685546874999992,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.0722222222222224,4.37037037037037,-2.356194490192345,0.002750651041666656,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.290740740740741,4.151851851851852,-2.0943951023931957,0.0027577039930555425,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.0240740740740741,4.151851851851852,-2.0943951023931957,0.0027609592013888807,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.364814814814815,4.37037037037037,-2.6179938779914944,0.0027625868055555455,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.144444444444445,4.151851851851852,-2.0943951023931957,0.002785373263888882,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.364814814814815,4.042592592592593,-2.6179938779914944,0.002795681423611101,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.827777777777778,1.8574074074074074,0.5235987755982987,0.0027989366319444344,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.72962962962963,4.151851851851852,-2.6179938779914944,0.002844509548611099,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.3166666666666669,4.261111111111111,-2.356194490192345,0.002941080729166654,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.3166666666666669,4.151851851851852,-2.356194490192345,0.002942165798611099,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,0.8777777777777779,4.261111111111111,-2.0943951023931957,0.002947048611111104,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,0.8777777777777779,4.37037037037037,-2.0943951023931957,0.0029714626736111025,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.364814814814815,4.151851851851852,-2.6179938779914944,0.003021375868055544,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,7.022222222222223,1.7481481481481482,1.0471975511965974,0.0030230034722222073,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.875925925925927,1.638888888888889,0.7853981633974478,0.003031141493055538,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
