map_name,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
simple_room,250,0.716,1.7234414474199087,2.776741976862065,0.04501555816778098,0.8889871053346008,1.393680177028953,0.01488342318484892,0.9989404039025521,0.0016160761401650219,16.225813155828334
complex_room,250,0.52,1.52125588518066,1.771662305833442,0.12637518492663738,0.9636768051533708,1.159493379802999,0.053876842792881297,0.9968251487022795,0.003229573544779051,9.562517655044271
corridor,250,0.62,1.3619372677488246,2.0347063688898257,0.04480469149262207,1.1221673419812814,1.4771380424837264,0.016594845204511044,0.9983397948294546,0.0017033644045343762,11.751494862672
