map_name,num_beams,method,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
medium_room,72,perception_aware,240,0.4625,2.133400700232686,2.0277723431953523,2.522239771038352,1.2762999584387023,1.296748497822397,1.2109613057776554,0.9944515653840357,0.004599305757084317,13.075692459524605
complex_room,72,perception_aware,240,0.6416666666666667,1.1951811972877913,1.7703995954130676,0.06385417966934903,0.6434582680632429,0.920185866132292,0.022658628269959236,0.9978748467752927,0.00253992582676792,10.01332203799575
corridor,72,perception_aware,240,0.675,1.5176848777977132,2.4288827517034295,0.04228705634423874,1.02422276482198,1.4579236713996968,0.017540641371231347,0.9985750813170979,0.0013917858811197143,12.431917167737689
