experiment,config_id,map_name,method,pose_id,seed,true_x,true_y,true_theta,estimated_x,estimated_y,estimated_theta,best_fitness,position_error,theta_error,success,scan_error,feature_error,combined_error,scan_contribution,perception_contribution,runtime_seconds,population_size,generations,elite_size,tournament_size,crossover_rate,mutation_rate,sigma_xy,sigma_theta,fov_deg,num_beams,max_range_m,noise_std_m,angular_resolution_deg,perception_weight,final_best_history,final_mean_history,top_k,top_k_min_dist_xy,top_k_min_dist_theta,num_distinct_modes,top1_success,top3_success,top5_success,top1_x,top1_y,top1_theta,top1_fitness,top1_position_error,top1_theta_error,top2_x,top2_y,top2_theta,top2_fitness,top2_position_error,top2_theta_error,top3_x,top3_y,top3_theta,top3_fitness,top3_position_error,top3_theta_error,top4_x,top4_y,top4_theta,top4_fitness,top4_position_error,top4_theta_error,top5_x,top5_y,top5_theta,top5_fitness,top5_position_error,top5_theta_error,exact_success,scan_equivalent_success,failure_type,output_scan_error,equivalence_threshold,nearest_equivalent_xy_distance,nearest_equivalent_theta_distance,nearest_equivalent_scan_error,ambiguity_num_candidates,ambiguity_num_equivalent_candidates,ambiguity_percentile,ambiguity_min_scan_error,ambiguity_median_scan_error,top1_scan_equivalent_success,top1_failure_type,top1_output_scan_error,top2_scan_equivalent_success,top2_failure_type,top2_output_scan_error,top3_scan_equivalent_success,top3_failure_type,top3_output_scan_error,top4_scan_equivalent_success,top4_failure_type,top4_output_scan_error,top5_scan_equivalent_success,top5_failure_type,top5_output_scan_error,top5_any_exact_success,top5_any_scan_equivalent_success,top5_failure_types
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,0,1.7,1.7,0.7853981633974483,1.235332294905678,4.274589917468514,-2.2614759673341713,0.9978406624832076,2.616186025359847,3.0468741307316196,False,0.001468098958333326,0.003787803582283229,0.0021640103455182968,0.0010276692708333281,0.0011363410746849686,8.173734000010882,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9978406624832076,0.9837456324667925,5,0.75,0.5,5,False,False,False,1.235332294905678,4.274589917468514,-2.2614759673341713,0.9978406624832076,2.616186025359847,3.0468741307316196,0.5635882695324692,4.3887849290047845,-1.6437856748502326,0.9917856770658042,2.9190745135380616,2.429183838247681,1.3558466776768787,4.32809764465811,-1.7568927585909349,0.988694978271031,2.6505355570381517,2.542290921988383,2.25588349543784,4.493768478547956,-2.0112644248981946,0.9882140569701376,2.848534495530702,2.796662588295643,0.8142339313354581,4.195190699483174,-2.789815776786575,0.9809072030726682,2.6477458630285438,2.7079713669955634,False,True,ambiguous_correct,0.001468098958333326,0.007640348307291643,0.06634553383726259,0.0947185228581735,0.0049294704861110915,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,ambiguous_correct,0.001468098958333326,True,ambiguous_correct,0.006967773437499971,False,true_failure,0.014123263888888855,False,true_failure,0.00822591145833332,False,true_failure,0.02333496093749994,False,True,ambiguous_correct;ambiguous_correct;true_failure;true_failure;true_failure
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,1,1.7,1.7,0.7853981633974483,1.7721203627675035,1.679869509865067,0.8108509250915884,0.9992824000036116,0.07487712173146716,0.025452761694140236,True,5.1540798611111084e-05,0.0022734558563624273,0.000718115315936506,3.607855902777776e-05,0.0006820367569087282,7.98660129099153,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9992824000036116,0.9822655045143331,5,0.75,0.5,5,True,True,True,1.7721203627675035,1.679869509865067,0.8108509250915884,0.9992824000036116,0.07487712173146716,0.025452761694140236,0.36418877288871276,1.5593234698792258,0.8846802078429308,0.9899727762582589,1.343198243225245,0.0992820444454825,1.6125354840334076,1.7292764734005368,0.30301487859121146,0.9880575527306856,0.0922342314330348,0.4823832848062368,2.524055059763902,1.4329764958032634,1.3288588777676829,0.9871807395576132,0.8662380119320514,0.5434607143702346,2.567840633600061,1.5536212555161757,0.7829032694391325,0.9744504328826584,0.8800989161247822,0.0024948939583158136,True,True,exact_correct,5.1540798611111084e-05,0.007640348307291643,0.044201856675507904,0.02545276169414068,0.0005598958333333301,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,exact_correct,5.1540798611111084e-05,False,true_failure,0.010489908854166629,False,true_failure,0.01060763888888885,False,true_failure,0.009889865451388861,False,true_failure,0.030703124999999935,True,True,exact_correct;true_failure;true_failure;true_failure;true_failure
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,2,1.7,1.7,0.7853981633974483,1.785720163368079,1.6665273412136279,0.820396351197147,0.9989095209515573,0.09202372136617307,0.034998187799698766,True,7.324218749999996e-05,0.003467999866335675,0.0010916694911507023,5.1269531249999964e-05,0.0010403999599007023,7.923122167005204,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9989095209515573,0.9823136223631487,5,0.75,0.5,5,True,True,True,1.785720163368079,1.6665273412136279,0.820396351197147,0.9989095209515573,0.09202372136617307,0.034998187799698766,3.2469252191419486,1.6509853780502382,0.7013858805726542,0.99418871145652,1.5477015431866197,0.08401228282479423,7.004399597178449,1.5446722057272324,1.0533593762867,0.9941747301865334,5.306673328010735,0.2679612128892517,0.5421969464802481,1.7441521115795549,0.6690431744854647,0.9938223970351786,1.158644604568888,0.1163549889119837,5.219026062104525,1.648034134065589,0.8118810311608402,0.9924032824850747,3.5194097341732165,0.026482867763391926,True,True,exact_correct,7.324218749999996e-05,0.007640348307291643,0.040911949493885054,0.03499818779969921,0.0005598958333333301,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,exact_correct,7.324218749999996e-05,True,ambiguous_correct,0.001997612847222216,True,ambiguous_correct,0.0052398003472222,True,ambiguous_correct,0.006844075520833312,True,ambiguous_correct,0.004287651909722208,True,True,exact_correct;ambiguous_correct;ambiguous_correct;ambiguous_correct;ambiguous_correct
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,3,1.7,1.7,0.7853981633974483,6.4073056711236775,4.224892112267103,-2.2348204834760694,0.9982840580819211,5.3417044901399935,3.0202186468735177,False,0.0011588541666666596,0.0030256450642659346,0.0017188914359464419,0.0008111979166666617,0.0009076935192797803,8.167727709020255,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9982840580819211,0.9824825011650791,5,0.75,0.5,5,False,False,False,6.4073056711236775,4.224892112267103,-2.2348204834760694,0.9982840580819211,5.3417044901399935,3.0202186468735177,2.839245215178205,4.322641974385476,-2.2839492249509052,0.9950176490288812,2.8593933947806103,3.0693473883483535,0.7939744300356512,4.2795241927597525,-2.2241678526543516,0.9920309289716204,2.734013056746817,3.0095660160518,4.19069501045232,4.243030825875409,-1.8309739909872862,0.9919588240882279,3.559574049861113,2.6163721543847345,5.202307913683911,3.9752065025460435,-2.4938791249997725,0.9895760662859873,4.176448892478004,3.003908018782365,False,True,ambiguous_correct,0.0011588541666666596,0.007640348307291643,0.04685904391188937,0.1213740067162754,0.001008572048611108,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,ambiguous_correct,0.0011588541666666596,True,ambiguous_correct,0.0035470920138888787,False,true_failure,0.008124999999999974,True,ambiguous_correct,0.005419379340277764,False,true_failure,0.008328993055555525,False,True,ambiguous_correct;ambiguous_correct;true_failure;ambiguous_correct;true_failure
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,4,1.7,1.7,0.7853981633974483,6.441683256500738,4.199200686878877,-2.330574087348241,0.9995613094747978,5.359996658420161,3.1159722507456893,False,0.0004991319444444416,0.00029830232643589016,0.00043888305904187614,0.0003493923611111091,8.949069793076705e-05,7.872571292013163,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995613094747978,0.9842375328180032,5,0.75,0.5,5,False,False,False,6.441683256500738,4.199200686878877,-2.330574087348241,0.9995613094747978,5.359996658420161,3.1159722507456893,5.081231943745027,4.3089700162085425,-2.722132500837545,0.9879554604646908,4.270767378689335,2.775654642944593,7.247604197827281,4.200854806835159,-2.0824427013599975,0.985317095247471,6.0852433887743045,2.867840864757446,6.498044139539785,3.8600789520831573,-1.6818474981942133,0.9851626606920052,5.261859808490221,2.4672456615916616,5.660107989091591,4.062914587981265,-1.7602831125647658,0.9843142058910356,4.611487898212649,2.545681275962214,False,True,ambiguous_correct,0.0004991319444444416,0.007640348307291643,0.047576249681130625,0.02562040284410383,0.0015451388888888847,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,ambiguous_correct,0.0004991319444444416,False,true_failure,0.009016927083333301,False,true_failure,0.013140733506944412,False,true_failure,0.018507486979166616,False,true_failure,0.012523871527777758,False,True,ambiguous_correct;true_failure;true_failure;true_failure;true_failure
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,5,1.7,1.7,0.7853981633974483,1.8217859353375976,1.6232252495610582,0.8179532554088126,0.9987958399650956,0.14396588606685717,0.032555092011364195,True,0.000473090277777776,0.0029148286332948553,0.0012056117844328998,0.00033116319444444317,0.0008744485899884565,7.982327415986219,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9987958399650956,0.9832946355746072,5,0.75,0.5,5,True,True,True,1.8217859353375976,1.6232252495610582,0.8179532554088126,0.9987958399650956,0.14396588606685717,0.032555092011364195,0.33475937861414995,1.617602670400125,0.745327469893213,0.9925313188687624,1.367724853253465,0.04007069350423542,2.5169773111982123,1.9254284218588558,1.3625555303896384,0.9909714755646521,0.8475080532917874,0.5771573669921901,0.7486692303602132,2.0242167356677205,1.394603240055094,0.9888910459347645,1.0050605578523424,0.6092050766576458,2.8559618396078617,1.5530209620690676,0.5866079056883713,0.9837309650496757,1.1652684721645454,0.198790257709077,True,True,exact_correct,0.000473090277777776,0.007640348307291643,0.06805742283591015,0.03255509201136464,0.0005598958333333301,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,exact_correct,0.000473090277777776,False,true_failure,0.008082682291666641,True,ambiguous_correct,0.006624891493055546,False,true_failure,0.011153428819444415,False,true_failure,0.01119574652777775,True,True,exact_correct;true_failure;ambiguous_correct;true_failure;true_failure
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,6,1.7,1.7,0.7853981633974483,7.011041889303194,1.723768795277125,0.967157658285075,0.9971565586588724,5.311095075929461,0.18175949488762688,False,0.002770182291666653,0.003041406502839243,0.0028515495550184298,0.001939127604166657,0.0009124219508517728,7.941699207993224,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9971565586588724,0.9845877033248458,5,0.75,0.5,5,False,False,False,7.011041889303194,1.723768795277125,0.967157658285075,0.9971565586588724,5.311095075929461,0.18175949488762688,7.301950447031753,1.6426085433417916,1.6373516972504145,0.9894540844381429,5.602244424362133,0.8519535338529662,6.491588793672868,1.4395645659370782,0.33395536279846416,0.9884208375579844,4.798661249032583,0.4514428005989841,7.754870925713968,1.4958422442143013,1.1086439279537892,0.9758989438550044,6.058311837162542,0.3232457645563409,7.283388152129739,2.49804250072527,1.4704336213339069,0.9479681304146008,5.640132541909505,0.6850354579364586,False,True,ambiguous_correct,0.002770182291666653,0.007640348307291643,0.026820751119053063,0.08003989291152225,0.0030230034722222073,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,ambiguous_correct,0.002770182291666653,False,true_failure,0.011953124999999955,True,ambiguous_correct,0.006864691840277753,False,true_failure,0.02243652343749996,False,true_failure,0.039099934895833174,False,True,ambiguous_correct;true_failure;ambiguous_correct;true_failure;true_failure
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,7,1.7,1.7,0.7853981633974483,6.419041283557938,4.1763280701453995,-2.32222576807905,0.9987737554725395,5.329310588332621,3.1076239314764984,False,0.0015093315972222173,0.0005707264372794637,0.0012277500492393913,0.001056532118055552,0.0001712179311838391,7.757927291007945,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9987737554725395,0.9816942952619477,5,0.75,0.5,5,False,False,False,6.419041283557938,4.1763280701453995,-2.32222576807905,0.9987737554725395,5.329310588332621,3.1076239314764984,6.148567579356774,4.254000437252602,-1.8000314957083738,0.9919519523691307,5.129587872489433,2.585429659105822,7.4200347984640525,3.8684107428059358,-2.575236726262235,0.988970727474402,6.11725455128,2.9225504175199024,7.399379840449038,3.8521103415580438,-2.065583769716235,0.9884479447233099,6.092167880808766,2.850981933113683,5.289719755582526,4.468465347492932,-1.7287878973473336,0.9770431420393344,4.533264640839826,2.514186060744782,False,True,ambiguous_correct,0.0015093315972222173,0.007640348307291643,0.030379802587145274,0.033968722113294714,0.0015451388888888847,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,ambiguous_correct,0.0015093315972222173,False,true_failure,0.00944498697916663,False,true_failure,0.010668402777777756,False,true_failure,0.010571831597222196,False,true_failure,0.02571397569444438,False,True,ambiguous_correct;true_failure;true_failure;true_failure;true_failure
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,8,1.7,1.7,0.7853981633974483,6.810910242202707,1.8098561574006986,0.8544203588476872,0.9973713981326893,5.112090754199437,0.06902219545023902,False,0.002550455729166653,0.00283403538329636,0.0026355296254055647,0.001785319010416657,0.0008502106149889079,7.674212374986382,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9973713981326893,0.979302291327258,5,0.75,0.5,5,False,False,False,6.810910242202707,1.8098561574006986,0.8544203588476872,0.9973713981326893,5.112090754199437,0.06902219545023902,7.329371755929518,1.7051338064077632,1.4598178949114038,0.9930906039489079,5.629374096862387,0.6744197315139555,5.63565050666459,1.662322807975834,1.3617854957621809,0.9899737761021478,3.9358308502027968,0.5763873323647326,4.907361841783398,1.9794551600230317,0.9158594193603209,0.9876311877835542,3.2195131884481683,0.1304612559628726,7.586615636211766,1.570317828948926,0.6412810023374251,0.9743670729358309,5.888043912368638,0.14411716106002315,False,True,ambiguous_correct,0.002550455729166653,0.007640348307291643,0.08054911859976066,0.06902219545023947,0.004479709201388873,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,ambiguous_correct,0.002550455729166653,False,true_failure,0.0077772352430555275,False,true_failure,0.007647026909722191,False,true_failure,0.008441840277777748,False,true_failure,0.02960177951388883,False,True,ambiguous_correct;true_failure;true_failure;true_failure;true_failure
experiment_5_symmetry_analysis,default,corridor_2,perception_aware,0,9,1.7,1.7,0.7853981633974483,3.331770128713621,4.2005629132496365,-2.5304073085315824,0.997135398362367,2.9858815509128247,2.967379835250556,False,0.001771375868055547,0.0054428934894130395,0.0028728311544627943,0.0012399631076388828,0.0016328680468239117,8.19483795799897,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.997135398362367,0.9826335111968892,5,0.75,0.5,5,False,False,False,3.331770128713621,4.2005629132496365,-2.5304073085315824,0.997135398362367,2.9858815509128247,2.967379835250556,2.7808358154566792,4.400722529788454,-1.9821881209112593,0.9921403875143444,2.908970306290673,2.767586284308708,1.5443779539384657,4.465173021748893,-2.259428392302555,0.9891728140873014,2.7695487107881465,3.0448265557000034,3.5312037805279988,4.228628831532908,-3.04022306694337,0.9886438207813408,3.122061987449883,2.457564076838768,4.03434923798129,3.839909785172464,-1.9677285130287934,0.9841784049135085,3.166764950788216,2.7531266764262416,False,True,ambiguous_correct,0.001771375868055547,0.007640348307291643,0.058861861863393164,0.08758656945991206,0.003021375868055544,60024,601,1.0,0.0005598958333333301,0.03927354600694433,True,ambiguous_correct,0.001771375868055547,True,ambiguous_correct,0.007052408854166636,False,true_failure,0.009431423611111087,False,true_failure,0.009506293402777744,False,true_failure,0.01629828559027774,False,True,ambiguous_correct;ambiguous_correct;true_failure;true_failure;true_failure
