map_name,n_runs,exact_success_rate,scan_equivalent_success_rate,ambiguity_gain,ambiguous_correct_rate,true_failure_rate,top5_scan_equivalent_success_rate,top5_ambiguity_gain,mean_output_scan_error,median_output_scan_error,mean_position_error,median_position_error
corridor_2,50,0.4,1.0,0.6,0.6,0.0,1.0,0.6,0.0006343424479166645,0.0004825846354166661,2.0015029662115085,1.7977734266046217
complex_room,50,0.54,0.98,0.43999999999999995,0.44,0.02,0.98,0.43999999999999995,0.0034961371527777656,0.0009830729166666633,1.5267234332869837,0.12290468066390356
