config_id,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
default,850,0.6317647058823529,1.5574412132011533,2.2674035116054934,0.054759244234326376,0.9361683082859898,1.3174638170106872,0.020851275527875135,0.9977899107036786,0.0030372013937238797,11.62937813148233
beams_18,150,0.5066666666666667,1.590614815055414,2.076231528873735,0.13939266188312344,1.2475656908353847,1.4305389036621965,0.053753419285117676,0.9979559387040238,0.002181038456301316,3.466429751140046
beams_36,150,0.6733333333333333,1.41756044868429,2.212384875833921,0.05616921381232563,0.9011768036876212,1.3238269199787545,0.02178813861217277,0.9984026040888265,0.002100940868683094,6.283684869454204
beams_72,150,0.6666666666666666,1.431675475216877,2.270253912430557,0.05203166454061927,0.8344161910599918,1.281825084800766,0.01744742249546727,0.9981244581727897,0.002488095220430038,11.914226810013545
beams_108,150,0.6533333333333333,1.4263720389316306,2.194030803401786,0.04476862730709319,0.914374267099696,1.323796932671066,0.01617408933257547,0.9978684072806044,0.0028296887350737813,17.623422984479692
beams_144,150,0.5933333333333334,1.8115015560274446,2.4087859037136465,0.05450863795316248,1.0605191347660619,1.3631520276924671,0.021862579207290622,0.9978241708108986,0.0026348809260841395,23.278611707486853
base,90,0.6,1.6022171998443093,2.162016921029746,0.06303436642332937,0.8967392516990926,1.2154645727512667,0.032893079322825036,0.9969865607862324,0.0034947763916349825,10.537017642112591
pop_50,90,0.4111111111111111,2.0766291061001834,2.167962910954343,0.5866444026646345,1.4980853560265268,1.360846273893543,1.5301338971559346,0.9958406847484141,0.004184084883889854,5.1228934773003045
pop_150,90,0.7333333333333333,1.0861149872793692,1.8561223853347115,0.046696695205017895,0.6558310076827618,1.1148255503259796,0.02227068113841968,0.9977976494897269,0.002713249589568169,16.011987060654146
gen_80,90,0.6111111111111112,1.590165412093832,2.1708343892975175,0.04747935110001695,0.888407001605568,1.2178074257882423,0.018385936545614934,0.9973223200331834,0.0035612075045944424,20.92345917962165
sigma_xy_0_15,90,0.6111111111111112,1.6230822222294106,2.135566276758641,0.04235085460476855,0.9610769588895086,1.2832606172006291,0.01692233078311567,0.9971120550940804,0.0038029766038179358,10.740357097689088
sigma_xy_0_50,90,0.5888888888888889,1.7387385137950806,2.185668875716796,0.09486610445928856,0.9746186503847404,1.2572748714554005,0.03405493388626035,0.9969093792964648,0.003462227386429151,10.319854468067124
tournament_2,90,0.5888888888888889,1.6591480392394389,2.1134844241382407,0.09952546792038516,0.9848282703975725,1.2616306221981026,0.03469712645051293,0.996499530039125,0.0035137061024985397,10.552103514310632
tournament_5,90,0.6,1.5472825869335516,2.1011262451986004,0.037354442001008105,0.9910294801780296,1.2991883743120232,0.00912473721165119,0.9972691364499091,0.003710260530658486,10.51481200093258
