experiment,map_name,method,pose_id,seed,num_beams,true_x,true_y,true_theta,estimated_x,estimated_y,estimated_theta,best_fitness,position_error,theta_error,success,runtime_seconds,population_size,generations,tournament_size,sigma_xy,sigma_theta
perception_ablation,simple_room,scan_only,0,0,32,1.0,1.0,0.0,7.073757426792336,4.927660633480145,-3.1351095437621352,0.9999468778221157,7.233052421440393,3.1351095437621352,False,7.815038749948144,100,40,3,0.35,0.25
perception_ablation,simple_room,scan_only,1,0,32,3.0,2.5,0.7,4.97693523050998,3.5236851707391517,-2.3760254041915934,0.9961919008041916,2.2262534075039153,3.0760254041915935,False,9.785138624953106,100,40,3,0.35,0.25
perception_ablation,simple_room,scan_only,2,0,32,4.8,3.0,1.5,4.409110015841079,4.9297441292533515,2.348563236821425,0.997998545105246,1.9689355967383841,0.8485632368214251,False,6.922175582963973,100,40,3,0.35,0.25
perception_ablation,simple_room,scan_only,3,0,32,2.0,4.5,-1.0,1.9919716684166024,4.5126999841152475,-0.9982825769245706,0.9999859376977511,0.015024769700082536,0.0017174230754295472,True,10.145441500004381,100,40,3,0.35,0.25
perception_ablation,simple_room,scan_only,4,0,32,6.5,4.8,3.0,1.5970782228432119,1.055610214537917,-0.12871299792097757,0.9999281301656444,6.169205525705158,3.1287129979209776,False,6.936164292041212,100,40,3,0.35,0.25
perception_ablation,simple_room,perception_aware,0,0,32,1.0,1.0,0.0,7.062259525791483,4.938930123587447,-3.1407140302616363,0.9989643848734263,7.229533946012993,3.1407140302616363,False,7.644437665818259,100,40,3,0.35,0.25
perception_ablation,simple_room,perception_aware,1,0,32,3.0,2.5,0.7,5.090280792745894,3.298161889043972,-2.486535366695131,0.9942408428897829,2.237484344893757,3.096649940484455,False,9.751322166062891,100,40,3,0.35,0.25
perception_ablation,simple_room,perception_aware,2,0,32,4.8,3.0,1.5,4.731817055772284,3.0068144536166574,1.472119250748472,0.9993731751466438,0.06852262882912019,0.02788074925152806,True,6.929663999937475,100,40,3,0.35,0.25
perception_ablation,simple_room,perception_aware,3,0,32,2.0,4.5,-1.0,2.0016685907409073,4.425477828486573,-1.0010436590324758,0.999581065285828,0.0745408494862873,0.00104365903247583,True,10.404529041843489,100,40,3,0.35,0.25
perception_ablation,simple_room,perception_aware,4,0,32,6.5,4.8,3.0,6.43609519046973,4.805877570296814,3.005386133505246,0.999647162914705,0.06417453165932824,0.005386133505246082,True,6.940874082967639,100,40,3,0.35,0.25
perception_ablation,easy_room,scan_only,0,0,32,1.0,1.0,0.2,7.255728994255718,4.442652382872615,-3.006101571242582,0.994884119317696,7.140448212743382,3.077083735937004,False,7.720968249952421,100,40,3,0.35,0.25
perception_ablation,easy_room,scan_only,1,0,32,2.5,2.2,1.0,5.371154229440796,5.465751232642365,-1.916805471333094,0.9975132306881829,4.348408642565794,2.916805471333094,False,7.037938833003864,100,40,3,0.35,0.25
perception_ablation,easy_room,scan_only,2,0,32,5.0,3.0,-0.5,5.055916041835728,2.892520021150224,-0.5273185161202567,0.9998648620147432,0.12115506422813344,0.02731851612025693,True,5.336792042013258,100,40,3,0.35,0.25
perception_ablation,easy_room,scan_only,3,0,32,6.5,4.5,2.2,3.581347581351328,5.1427561400656785,-0.9580888131879001,0.9980973768753314,2.98858953295294,3.125096493991686,False,6.246434249915183,100,40,3,0.35,0.25
perception_ablation,easy_room,scan_only,4,0,32,3.5,5.5,-2.0,3.4522310433366816,5.500901332299913,-2.014300303667604,0.999938285058969,0.0477774593361436,0.01430030366760393,True,6.222551707876846,100,40,3,0.35,0.25
perception_ablation,easy_room,perception_aware,0,0,32,1.0,1.0,0.2,6.880019726191626,5.0487850097182,-2.8958252339765664,0.9924608521255459,7.139138045683207,3.0958252339765666,False,7.629272625083104,100,40,3,0.35,0.25
perception_ablation,easy_room,perception_aware,1,0,32,2.5,2.2,1.0,5.248256151612827,5.560077321622718,-1.9378437407040405,0.9959599880857999,4.340856077107492,2.9378437407040403,False,7.161794708110392,100,40,3,0.35,0.25
perception_ablation,easy_room,perception_aware,2,0,32,5.0,3.0,-0.5,5.011196195878356,3.025498693845332,-0.5122421612757186,0.9998746972629402,0.02784848631370289,0.012242161275718644,True,5.2909143751021475,100,40,3,0.35,0.25
perception_ablation,easy_room,perception_aware,3,0,32,6.5,4.5,2.2,6.51723227572188,4.491064638377042,2.198669768995043,0.9999603371323414,0.019411131185171286,0.0013302310049572164,True,6.388077458133921,100,40,3,0.35,0.25
perception_ablation,easy_room,perception_aware,4,0,32,3.5,5.5,-2.0,2.981715387705733,1.4664837976103755,-1.7546295003625016,0.9956820718618281,4.066678238351375,0.24537049963749835,False,6.4024652920197695,100,40,3,0.35,0.25
perception_ablation,medium_room,scan_only,0,0,32,2.0,2.2,0.0,6.211769724252642,3.024813940202829,2.9825351244050844,0.9933561546562406,4.291773787850904,2.982535124405084,False,7.113323332974687,100,40,3,0.35,0.25
perception_ablation,medium_room,scan_only,1,0,32,1.6,3.6,0.8,1.5618140281578203,3.6859576083087515,0.743371321260426,0.9999414096830265,0.0940578485385057,0.05662867873957378,True,4.151366333011538,100,40,3,0.35,0.25
perception_ablation,medium_room,scan_only,2,0,32,5.5,2.0,-0.8,0.703273476141991,5.222896011506585,2.3326505121942693,0.9999937500390623,5.778896438392714,3.132650512194269,False,2.8651493340730667,100,40,3,0.35,0.25
perception_ablation,medium_room,scan_only,3,0,32,3.4,5.0,2.4,6.986016860409906,4.614702370672211,0.7133858276296786,0.9994822994027311,3.6066565107187207,1.6866141723703212,False,3.710047250147909,100,40,3,0.35,0.25
perception_ablation,medium_room,scan_only,4,0,32,7.6,2.8,-2.6,3.324496515556007,2.9180722965001955,0.9904717010892341,0.9944953130523626,4.277133515883454,2.6927136060903525,False,6.865609292173758,100,40,3,0.35,0.25
perception_ablation,medium_room,perception_aware,0,0,32,2.0,2.2,0.0,1.8926906534205274,2.2705828515147926,-0.04283927978710933,0.9979161433317358,0.12844156177527813,0.04283927978710933,True,6.721158958040178,100,40,3,0.35,0.25
perception_ablation,medium_room,perception_aware,1,0,32,1.6,3.6,0.8,1.5736017206938209,3.5589620460085687,0.7241251744989807,0.9999117148329144,0.04879531553468929,0.07587482550101932,True,4.046414917102084,100,40,3,0.35,0.25
perception_ablation,medium_room,perception_aware,2,0,32,5.5,2.0,-0.8,5.500585504497057,5.180635583636536,0.613775458095148,0.9999122238211504,3.1806356375275753,1.4137754580951478,False,3.019296708982438,100,40,3,0.35,0.25
perception_ablation,medium_room,perception_aware,3,0,32,3.4,5.0,2.4,3.3713788594378173,4.971480538259484,2.276150663599614,0.9991309797357717,0.04040457133851294,0.12384933640038609,True,3.9936438750009984,100,40,3,0.35,0.25
