experiment,config_id,map_name,method,pose_id,seed,true_x,true_y,true_theta,estimated_x,estimated_y,estimated_theta,best_fitness,position_error,theta_error,success,scan_error,feature_error,combined_error,scan_contribution,perception_contribution,runtime_seconds,population_size,generations,elite_size,tournament_size,crossover_rate,mutation_rate,sigma_xy,sigma_theta,fov_deg,num_beams,max_range_m,noise_std_m,angular_resolution_deg,perception_weight,final_best_history,final_mean_history
experiment_1_perception_ablation,default,simple_room,scan_only,0,0,1.0,1.0,0.0,7.047713282681833,4.902031072732098,3.1375485993544987,0.9996572355832852,7.197269096128967,3.137548599354499,False,0.0003428819444444435,0.005631162335046426,0.0003428819444444435,0.0003428819444444435,0.0,12.555041832994903,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9995347217929154,0.9615113149929035
experiment_1_perception_ablation,default,simple_room,scan_only,0,1,1.0,1.0,0.0,7.020177707392238,4.823999731156887,3.1317465374188567,0.9996995260756044,7.132006279615182,3.1317465374188567,False,0.00030056423611111055,0.005902461975253723,0.00030056423611111055,0.00030056423611111055,0.0,12.667254958010744,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9996995260756044,0.9593799518922428
experiment_1_perception_ablation,default,simple_room,scan_only,0,2,1.0,1.0,0.0,7.007964699032288,4.9014915612113095,-3.12626725990969,0.9996631994103549,7.163607766134407,3.12626725990969,False,0.0003369140624999987,0.005339710832117771,0.0003369140624999987,0.0003369140624999987,0.0,13.068104416001006,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9996631994103549,0.9598097838599747
experiment_1_perception_ablation,default,simple_room,scan_only,0,3,1.0,1.0,0.0,1.048644345748733,1.0061110278683265,-0.006146230737738012,0.9999392398031368,0.04902669716521552,0.006146230737738012,True,6.07638888888886e-05,0.0017786409121605545,6.07638888888886e-05,6.07638888888886e-05,0.0,13.174703625001712,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9999392398031368,0.9597606087284569
experiment_1_perception_ablation,default,simple_room,scan_only,0,4,1.0,1.0,0.0,7.015349562130945,4.83558039365936,3.130013820082673,0.9997515808246431,7.134150777131995,3.130013820082673,False,0.00024848090277777737,0.005867514787475242,0.00024848090277777737,0.00024848090277777737,0.0,12.96379241599061,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9997515808246431,0.958310532263988
experiment_1_perception_ablation,default,simple_room,scan_only,0,5,1.0,1.0,0.0,7.0066914264244975,4.856962843061382,-3.137317210180362,0.9996968150392758,7.138382468391401,3.137317210180362,False,0.0003032769097222213,0.004990839429507649,0.0003032769097222213,0.0003032769097222213,0.0,13.011364709003828,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9996968150392758,0.9637201964340104
experiment_1_perception_ablation,default,simple_room,scan_only,0,6,1.0,1.0,0.0,1.0244758367937654,1.0014159910642526,0.012134938900378436,0.9999674489762703,0.024516761969091354,0.012134938900378422,True,3.255208333333316e-05,0.00022565261299391584,3.255208333333316e-05,3.255208333333316e-05,0.0,13.655646375002107,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9999674489762703,0.9587763263385743
experiment_1_perception_ablation,default,simple_room,scan_only,0,7,1.0,1.0,0.0,7.019198942744068,4.82659388060874,3.1272094466345184,0.9997602571431982,7.132571530622287,3.1272094466345184,False,0.00023980034722222192,0.005707532174635779,0.00023980034722222192,0.00023980034722222192,0.0,12.68709479100653,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9997602571431982,0.9540477198864314
experiment_1_perception_ablation,default,simple_room,scan_only,0,8,1.0,1.0,0.0,1.0371751441982384,0.9878908130662308,0.016728903946427707,0.999953886675148,0.03909761826961823,0.016728903946427565,True,4.6115451388888664e-05,0.00016298227858905245,4.6115451388888664e-05,4.6115451388888664e-05,0.0,13.076822417002404,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.999953886675148,0.9645694609748809
experiment_1_perception_ablation,default,simple_room,scan_only,0,9,1.0,1.0,0.0,7.016255990535095,4.796147019414988,3.1118215645844542,0.999719588201443,7.113794229288806,3.1118215645844547,False,0.0002804904513888886,0.0041179428805941725,0.0002804904513888886,0.0002804904513888886,0.0,12.601846332996502,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.999719588201443,0.9599439215543693
experiment_1_perception_ablation,default,simple_room,scan_only,1,0,3.0,2.5,0.7,3.0418924081395513,2.4794234350532953,0.7049947179237113,0.9999745015182447,0.04667299952581471,0.0049947179237115336,True,2.549913194444437e-05,0.00258552380206375,2.549913194444437e-05,2.549913194444437e-05,0.0,16.49361691699596,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9999745015182447,0.9784464328867147
experiment_1_perception_ablation,default,simple_room,scan_only,1,1,3.0,2.5,0.7,2.997314283252521,2.501531907072867,0.6976832795538676,0.9999956597410601,0.003091894844199933,0.002316720446132514,True,4.340277777777747e-06,0.00012260566505001812,4.340277777777747e-06,4.340277777777747e-06,0.0,16.50448045899975,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.0,0.9999956597410601,0.9761860379096489
