method,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
scan_only,250,0.564,1.7976537025169816,2.3336034815019926,0.06845826532954208,1.1385040040594294,1.3813445679268637,0.024630537117126705,0.9979495248011704,0.0030039577451091357,11.694755673811946
perception_aware,250,0.668,1.4726514679903717,2.2719807794772184,0.0526639655515937,0.847366413473063,1.285145471750128,0.019089418953736947,0.9977463510380824,0.0030986692476905734,11.881029231707915
