map_name,method,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
simple_room,scan_only,50,0.72,1.8262566553508628,2.908005895905439,0.043871711530292595,0.8814402562420699,1.4015347140110852,0.0076223716683716525,0.9996350194206756,0.0010292928008398257,15.280529404158878
simple_room,perception_aware,350,0.7285714285714285,1.6691178892198344,2.7578183465527024,0.04318491070512455,0.8505826430521218,1.3762371160328435,0.011850945921140665,0.9990020104853963,0.00151830929760832,16.015773183957418
easy_room,scan_only,50,0.62,1.6021727822863974,2.320172440004949,0.07527359736880021,1.079384940749059,1.4396892205263558,0.013718155851676794,0.9977656004270727,0.0031246089263015876,12.10200769499992
easy_room,perception_aware,100,0.66,1.7628856049596104,2.5856469895643484,0.055148743820877075,1.0519958887618908,1.446899428055841,0.021897813774577113,0.9980146235791133,0.002555903685671238,12.234578835819557
medium_room,scan_only,50,0.54,1.8999081925523882,2.0914245963960765,0.12677184595269156,1.01206581687147,1.2214690225844411,0.043057894340492675,0.9963752238592036,0.00405821675715579,10.739255248280243
medium_room,perception_aware,340,0.5264705882352941,1.8898549970294307,2.02171754261345,0.15950803122523702,1.1013845604930395,1.2661643436529717,0.07288399202003171,0.9950080923572399,0.004656814408173973,12.468276069458636
complex_room,scan_only,50,0.4,2.1197827865415575,2.1400374722963464,1.812489954981237,1.2749824244914252,1.1812326008614793,1.48196592554858,0.9967032245480116,0.0029490188745033706,8.975321350819431
complex_room,perception_aware,640,0.5703125,1.4002593338082536,1.8127841838570202,0.08988461503164698,0.8054553590213562,1.0601486850281585,0.03750155572013547,0.9971848817662547,0.003094496455178739,9.660382459520179
corridor,scan_only,50,0.54,1.540148095853703,2.0531554235161598,0.06452590619615711,1.4446465819431231,1.5551042902169354,0.023613236870589693,0.9992685557508877,0.0006957727923705816,11.376664670801256
corridor,perception_aware,640,0.659375,1.3905902928207141,2.2084534893139494,0.043643326769302396,1.0445540902774315,1.4596059641305916,0.016751878461271463,0.9984742131735678,0.0015164818636355588,11.906914649498708
