map_name,pose_id,true_x,true_y,true_theta,num_candidates,num_equivalent_candidates,equivalence_percentile,percentile_threshold,equivalence_threshold,min_scan_error,median_scan_error,mean_scan_error,max_scan_error,num_xy_samples,num_theta_samples,num_beams
corridor_2,0,1.7,1.7,0.7853981633974483,60024,601,1.0,0.007640348307291643,0.007640348307291643,0.0005598958333333301,0.03927354600694433,0.03878361002784929,0.10681532118055517,55,24,72
corridor_2,1,2.6,4.2,-0.7853981633974483,60024,601,1.0,0.0062997450086805405,0.0062997450086805405,0.0003092447916666649,0.03646538628472214,0.03651723019378754,0.10451063368055517,55,24,72
corridor_2,2,3.8,3.0,0.0,60024,601,1.0,0.015159418402777717,0.015159418402777717,0.0014089626736111076,0.04471489800347206,0.04467456375920394,0.09616102430555526,55,24,72
corridor_2,3,5.2,4.2,4.71238898038469,60024,601,1.0,0.0081080132378472,0.0081080132378472,0.00036892361111110893,0.042189670138888774,0.041993147827312824,0.11292805989583293,55,24,72
corridor_2,4,6.0,1.8,2.356194490192345,60024,601,1.0,0.008792480468749964,0.008792480468749964,3.96050347222222e-05,0.04309895833333323,0.042903520259647755,0.11628743489583293,55,24,72
complex_room,0,1.0,1.6,0.0,60912,610,1.0,0.009373670789930528,0.009373670789930528,3.7434895833333236e-05,0.02908338758680549,0.03037470716556539,0.085877278645833,55,24,72
complex_room,1,2.8,3.0,0.9,60912,610,1.0,0.013033848741319387,0.013033848741319387,0.0031277126736111013,0.03411892361111103,0.0351955715026133,0.09073296440972192,55,24,72
complex_room,2,4.8,1.5,-1.2,60912,610,1.0,0.008098052300347179,0.008098052300347179,0.0019840494791666602,0.028003200954861078,0.02906357617149016,0.09422200520833303,55,24,72
complex_room,3,2.5,5.0,2.0,60912,610,1.0,0.012922211371527728,0.012922211371527728,0.003631184895833317,0.03355658637152769,0.03474065619147113,0.09078613281249964,55,24,72
complex_room,4,6.8,3.0,-2.4,60912,610,1.0,0.00555989040798611,0.00555989040798611,9.223090277777773e-05,0.020590549045138844,0.021356430870915398,0.06768825954861085,55,24,72
